id;tip;kod;ad;adres;telefon;il_kod;il_ad;ilce_kod;ilce_ad;mahalle_ad;lat;lon;hafta_ici;cumartesi;pazar;aktiflik;guncellenme_tarihi
3738;PTT_SUBE;2696;CEMALPAŞA MÜDÜRLÜĞÜ;KURTULUŞ MAHALLESİ ATATÜRK CADDE No: 99 SEYHAN ADANA;03224543586;1;ADANA;;;;37.002669;35.320765;08:30-12:30/13:30-17:30;KAPALI;KAPALI;1;2026-09-21 08:29:53
3737;PTT_SUBE;2307;CEYHAN MÜDÜRLÜĞÜ;BÜYÜKKIRIM MAHALLESİ PTT CADDE No: 11 CEYHAN ADANA;03226132626;1;ADANA;;;;37.02397;35.80965;08:30-12:30;KAPALI;KAPALI;1;2026-09-21 08:29:53
3736;PTT_SUBE;8481;CUMHURİYET ŞUBESİ;TEPEBAĞ MAHALLESİ İNÖNÜ CADDE No: 29 A SEYHAN ADANA;0;1;ADANA;;;;36.989997;35.328394;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3731;PTT_SUBE;2728;DADALOĞLU  ŞUBESİ;SELAHATTİN EYYUBİ MAHALLESİ KOZAN CADDE No: 391 YÜREĞİR ADANA;03223296809;1;ADANA;;;;37.004488;35.368002;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3730;PTT_SUBE;8562;DAĞLIOĞLU ŞUBESİ;DAĞLIOĞLU MAHALLESİ 14017 SOKAK No: 4 SEYHAN ADANA;0;1;ADANA;;;;36.97651098;35.31155688;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3728;PTT_SUBE;2917;DORUK ACENTELİĞİ;DORUK MAHALLESİ 3503 SOKAK No: 47 CEYHAN ADANA;03226452269;1;ADANA;;;;36.87783903;35.76353004;09:00-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3729;PTT_SUBE;7260;DOĞANKENT  ŞUBESİ;GAZİPAŞA MAHALLESİ KARATAŞ BULVAR No: 1059 YÜREĞİR ADANA;03223340002;1;ADANA;;;;36.845106;35.339587;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3727;PTT_SUBE;8563;DUMLUPINAR ŞUBESİ;MEYDAN MAHALLESİ MEYDAN CADDE No: 46 SEYHAN ADANA;0;1;ADANA;;;;36.983549;35.309786;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3726;PTT_SUBE;7250;FATİH  ŞUBESİ;YAVUZ SULTAN SELİM MAHALLESİ KOZAN BULVAR No: 133 - SARIÇAM ADANA;03223412024;1;ADANA;;;;37.036229831;35.418689938;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3725;PTT_SUBE;2222;FEKE MÜDÜRLÜĞÜ;İSLAM MAHALLESİ BELENKÖY YOLU CADDE No: 2 FEKE ADANA;03227412001;1;ADANA;;;;37.81583496;35.90769096;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
